name,aaa
Pepsi,21
ééé,24
Sandwich,1
Salade,245
Soda,3019
"Barre chocolatée",613
Café,3737
Chips,186
"Chocolat chaud",31
Croissant,325
"Demi bière",1297
Kir,250
"Pain au chocolat",714
Thé,76
"Verre de Vin",243
"Hot Dog",719
Volpi,264
Tralala,362
Gégé,203
Yéti,694
Pouch,183
Nono,380
JBG,468
"3 fromages",279
"Salade composées",35
"Jambon Beurre",454
Mitch,598
Pâté,170
Rosette,571
"Jambon Tartare",230
Pizza,332
"Panza Cup",149
"Croque Monsieur",1953
"Supp fromage",3
"Supp crudité",12
Girafe,12
Eau,84
"Grande Chips",69
Bueno,145
"manque de respect",142
tuborg,28
milka,43
pringles,30
PomPote,28
"Wrap Zorro",107
Desperados,24
"Wrap Boeuf",35
"Wrap dinde",49
Saucisse,21
Merguez,43
Blanche,16
Picon,47
schermi,17
Buchette,191
"Grimbergen Noël",205
"Vin chaud",59
Nordique,56
Parisienne,22
Alsace,102
"Alsace 2",39
Savoyard,52
Cabecou,19
Provencal,51
Italienne,69
Espagnol,38
"Tartine banane",25
"Tartine pomme",7
"La marseillaise",23
Mediteranenne,17
"La Péruvienne",10
"Pequeno Juan",15
